896,J1023+2856,23:24.0,+28:56:50.9900
897,J1023+3948,23:11.6,+39:48:14.9900
898,J1024+1912,24:44.8,+19:12:20.0000
899,J1025+1253,25:56.3,+12:53:49.0000
900,J1025-0509,25:45.4,-05:09:54.0000
901,J1028+0255,28:20.4,+02:55:22.0000
902,J1029-1852,29:33.1,-18:52:50.0000
903,J1033+0711,33:34.0,+07:11:26.0000
904,J1033+3935,33:22.1,+39:35:51.0000
905,J1033+4116,33:03.7,+41:16:06.0000
906,J1033+6051,33:51.4,+60:51:07.0000
907,J1036+1440,36:03.7,+14:40:45.0000
908,J1036+2203,36:33.0,+22:03:12.0000
909,J1036-0605,36:47.6,-06:05:41.0000
910,J1038+0512,38:46.8,+05:12:29.0000
911,J1039-1541,39:06.7,-15:41:06.0000
912,J1041+0610,41:17.2,+06:10:16.0000
913,J1041+5233,41:46.8,+52:33:28.0000
914,J1043+2408,43:09.0,+24:08:35.0000
915,J1044+2959,44:06.3,+29:59:01.0000
916,J1044+5322,44:10.7,+53:22:19.9900
917,J1044+8054,44:23.1,+80:54:39.0100
918,J1045+0624,45:52.7,+06:24:36.0000
919,J1046+5354,46:24.0,+53:54:26.0000
920,J1047+2635,47:36.7,+26:35:27.0000
921,J1047+4725,47:32.8,+47:25:32.0200
922,J1047-1308,47:03.9,-13:08:32.0000
923,J1048+7143,48:27.6,+71:43:34.9900
924,J1048-1909,48:06.6,-19:09:35.0000
925,J1051+2027,51:01.4,+20:27:20.0000
926,J1051+2119,51:48.8,+21:19:52.0000
927,J1054-0713,54:41.0,-07:13:26.0000
928,J1056+7011,56:53.6,+70:11:44.9900
929,J1058+0133,58:29.6,+01:33:58.0000
930,J1058+1951,58:17.9,+19:51:50.0000
931,J1058+5628,58:37.7,+56:28:11.0000
932,J1058+8114,58:11.5,+81:14:31.9800
933,J1059+2057,59:39.0,+20:57:22.0000
934,J1102+2757,02:14.3,+27:57:08.0000
935,J1103+3014,03:13.3,+30:14:42.0000
